Park	Transect	Day	Month	Year	ActualDate	BiMonth	TimeStart	TimeEnd	Thomsons	Impala	Zebra	Gnu	Topi	Warthog	Hartebeast	Grants	Buffalo	Hippo	Giraffe	Ostrich	Eland	Elephant	Oribi	Reedbuck	Waterbuck	Baboons	Bushbuck	Other	Comments	TotalPrey	AvgPrey	Distance
TM	RSP	2	8	2008	02-Aug-08	1	828	842	1	17	0	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	439	148.564103	3.22
TM	RSP	18	8	2008	18-Aug-08	2	814	850	35	5	0	50	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	 	102	148.564103	3.22
TM	RSP	6	9	2008	06-Sep-08	1	830	841	14	1	0	1	6	1	9	0	0	0	0	2	0	0	0	0	0	0	0	3	 	37	148.564103	3.22
TM	RSP	22	9	2008	22-Sep-08	2	805	819	61	6	0	0	1	7	0	0	0	0	4	0	0	0	0	0	0	0	0	11	 	90	148.564103	3.22
TM	RSP	3	10	2008	03-Oct-08	1	758	812	36	4	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	 	45	148.564103	3.22
TM	RSP	13	10	2008	13-Oct-08	2	657	715	19	0	5	30	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	 	61	148.564103	3.22
TM	RSP	2	11	2008	02-Nov-08	1	812	836	83	1	78	366	30	3	0	0	0	0	0	2	0	0	0	0	0	0	0	5	 	568	148.564103	3.22
TM	RSP	19	11	2008	19-Nov-08	2	805	819	62	3	0	0	25	19	0	0	0	0	0	0	0	0	0	0	0	0	0	19	 	128	148.564103	3.22
TM	RSP	4	12	2008	04-Dec-08	1	811	824	67	16	0	0	24	10	0	0	7	0	0	0	0	0	0	0	0	0	0	17	 	141	148.564103	3.22
TM	RSP	22	12	2008	22-Dec-08	2	826	848	34	1	0	0	3	7	0	0	3	0	0	0	0	0	0	0	0	0	0	10	 	58	148.564103	3.22
TM	RSP	2	1	2009	02-Jan-09	1	819	845	26	12	0	0	4	8	0	2	0	0	0	0	0	0	0	0	0	0	0	10	 	62	148.564103	3.22
TM	RSP	12	1	2009	12-Jan-09	2	836	858	144	37	6	0	16	11	0	0	1	0	0	0	0	0	0	0	0	0	0	12	 	227	148.564103	3.22
TM	RSP	3	2	2009	03-Feb-09	1	836	858	7	1	0	0	13	1	0	0	3	0	0	0	0	0	0	0	0	0	0	4	 	29	148.564103	3.22
TM	RSP	17	2	2009	17-Feb-09	2	816	835	6	11	0	0	14	19	0	0	0	0	0	0	0	0	0	0	0	0	0	19	 	69	148.564103	3.22
TM	RSP	3	3	2009	03-Mar-09	1	805	818	51	15	0	0	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	 	91	148.564103	3.22
TM	RSP	25	3	2009	25-Mar-09	2	724	806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	148.564103	3.22
TM	RSP	11	4	2009	11-Apr-09	1	835	847	45	20	71	0	21	4	0	0	7	0	0	0	0	0	0	0	0	0	0	11	 	179	148.564103	3.22
TM	RSP	15	4	2009	15-Apr-09	2	801	815	116	6	20	0	34	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	 	178	148.564103	3.22
TM	RSP	2	5	2009	02-May-09	1	831	852	19	6	0	0	25	13	0	0	0	0	0	0	0	0	0	0	0	0	0	13	 	76	148.564103	3.22
TM	RSP	15	5	2009	15-May-09	2	843	905	48	16	0	0	49	5	0	0	0	0	0	0	20	0	0	0	0	0	0	25	 	163	148.564103	3.22
TM	RSP	8	6	2009	08-Jun-09	1	740	801	62	14	40	0	11	0	0	0	0	0	0	0	16	0	0	0	0	0	0	16	 	159	148.564103	3.22
TM	RSP	28	6	2009	28-Jun-09	2	731	749	28	3	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	61	148.564103	3.22
TM	RSP	5	7	2009	05-Jul-09	1	754	813	11	3	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	9	 	33	148.564103	3.22
TM	RSP	28	7	2009	28-Jul-09	2	749	809	38	27	0	56	2	6	0	0	1	0	0	0	0	0	0	0	0	0	0	7	 	137	148.564103	3.22
TM	RSP	2	8	2009	02-Aug-09	1	706	725	23	14	0	1	10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	11	 	70	148.564103	3.22
TM	RSP	29	8	2009	29-Aug-09	2	820	833	7	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	14	148.564103	3.22
TM	RSP	4	9	2009	04-Sep-09	1	822	844	17	1	0	0	6	2	0	0	2	0	0	0	0	17	0	0	0	0	0	21	 	66	148.564103	3.22
TM	RSP	23	9	2009	23-Sep-09	2	837	849	13	6	31	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	55	148.564103	3.22
TM	RSP	5	10	2009	05-Oct-09	1	830	839	25	14	8	0	1	2	0	0	0	0	0	0	4	0	0	0	0	0	0	6	 	60	148.564103	3.22
TM	RSP	23	10	2009	23-Oct-09	2	820	838	32	37	0	38	3	2	0	0	2	0	0	0	0	1	0	0	0	0	0	5	 	120	148.564103	3.22
TM	RSP	5	11	2009	05-Nov-09	1	708	721	24	10	11	303	5	0	0	0	17	0	0	0	0	0	0	0	0	0	0	17	 	387	148.564103	3.22
TM	RSP	26	11	2009	26-Nov-09	2	806	822	48	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	 	55	148.564103	3.22
